

Method,CTCP
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Send Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
0,0,0,712.333,2,8191,0,0,0,2.76058
0.0232917,0,2,712.333,2,8191,0,0,0,2.76058
0.0232913,0,2,712.333,2,8191,0,0,0,2.76058
0.0232899,0,0,1048.55,2,8190,0,2,0,2.71398
0,0,0,1048.55,2,8190,0,0,0,2.71398
0,0,0,1048.55,2,8190,0,0,0,2.71398
0.570639,0,0,430.229,2,8190,0,31,0,3.15661
1.02481,0,0,9.803,2,8191,0,51,0,2.77222
1.53723,0,0,7.075,2,8191,0,73,0,2.3529
1.68864,0,0,5.999,2,8191,0,79,0,2.41114
0.128103,0,0,15.844,2,8189,0,6,0,2.41114
0.31443,0,0,89.648,2,8191,0,14,0,2.38784
0.0232913,0,0,85.867,2,8190,0,2,0,2.36454
0.0815215,0,0,178.574,2,8191,0,7,0,2.3296
0.139753,0,0,188.823,2,8189,0,7,0,2.16653
0.069875,0,0,186.673,2,8191,0,3,0,2.10829
0.0465812,0,0,213.119,2,8191,0,3,0,1.93357
0.0232901,0,0,231.642,2,8189,0,1,0,1.88698
0.0698679,0,0,302.835,2,8189,0,3,0,1.78214
0.442535,0,0,92.541,2,8189,0,22,0,1.58413
0.069872,0,0,100.946,2,8189,0,3,0,1.56083
0.0465834,0,0,121.302,2,8189,0,2,0,1.56083
0.0465822,0,0,160.504,2,8191,0,3,0,1.56083
0.0465825,0,0,232.085,2,8190,0,4,0,1.53754
0.535698,0,0,83.975,2,8191,0,25,0,1.49094
2.02635,0,0,12.428,2,8191,0,91,0,1.44435
2.38738,0,0,6.012,2,8190,0,108,0,1.42106
1.45568,0,0,12.613,2,8191,0,69,0,1.35117
1.747,0,0,7.989,2,8189,0,82,0,1.44435
1.77033,0,0,10.286,2,8191,0,84,0,1.37446
1.63051,0,0,4.908,2,8189,0,73,0,1.37446
1.25777,0,0,8.562,2,8189,0,63,0,1.38611
